from_stop_id,to_stop_id,transfer_type,min_transfer_time
2090,2096,2,120
2091,3749649,2,114
2037,2551,2,180
2551,3749659,2,82
2090,3749659,2,82
2156,2551,2,180
2156,2090,2,180
2551,2046,2,120
2552,3749649,2,114
2090,2046,2,120
2091,3749650,2,42
2551,2096,2,120
2091,3749651,2,120
2037,2090,2,180
2552,3749650,2,42
2552,3749651,2,120
