service_id,date,exception_type
87284,20170504,1
87284,20170505,1
87284,20170509,1
87284,20170510,1
87284,20170511,1
87284,20170512,1
87284,20170515,1
87284,20170516,1
87284,20170517,1
87284,20170518,1
87284,20170519,1
87284,20170522,1
87284,20170523,1
87284,20170524,1
87284,20170526,1
87284,20170529,1
87284,20170530,1
87284,20170531,1
87284,20170601,1
87284,20170602,1
87284,20170606,1
87284,20170607,1
87284,20170608,1
87284,20170609,1
87284,20170612,1
87284,20170613,1
87284,20170614,1
87284,20170615,1
87284,20170616,1
87284,20170619,1
87284,20170620,1
87284,20170621,1
87284,20170622,1
87284,20170623,1
87284,20170626,1
87284,20170627,1
87284,20170628,1
87284,20170629,1
87284,20170630,1
87284,20170703,1
87284,20170704,1
87284,20170705,1
87284,20170706,1
87284,20170707,1
87284,20170710,1
87284,20170711,1
87284,20170712,1
87284,20170713,1
87284,20170717,1
87284,20170718,1
87284,20170719,1
87284,20170720,1
87284,20170721,1
87284,20170724,1
87284,20170725,1
87284,20170726,1
87284,20170727,1
87284,20170728,1
87284,20170731,1
87284,20170801,1
87284,20170802,1
87284,20170803,1
87284,20170804,1
87284,20170807,1
87284,20170808,1
87284,20170809,1
87284,20170810,1
87284,20170811,1
87284,20170814,1
87284,20170816,1
87284,20170817,1
87284,20170818,1
87284,20170821,1
87284,20170822,1
87284,20170823,1
87284,20170824,1
87284,20170825,1
87284,20170828,1
87284,20170829,1
87284,20170830,1
87284,20170831,1
87284,20170901,1
87284,20170904,1
87284,20170905,1
87284,20170906,1
87284,20170907,1
87284,20170908,1
87284,20170911,1
87284,20170912,1
87284,20170913,1
87284,20170914,1
87284,20170915,1
87284,20170918,1
87284,20170919,1
87284,20170920,1
87284,20170921,1
87284,20170922,1
87284,20170925,1
87284,20170926,1
87284,20170927,1
87284,20170928,1
87284,20170929,1
87284,20171002,1
87284,20171003,1
87284,20171004,1
87284,20171005,1
87284,20171006,1
87284,20171009,1
87284,20171010,1
87284,20171011,1
87284,20171012,1
87284,20171013,1
87284,20171016,1
87284,20171017,1
87284,20171018,1
87284,20171019,1
87284,20171020,1
87284,20171023,1
87284,20171024,1
87284,20171025,1
87284,20171026,1
87284,20171027,1
87284,20171030,1
87284,20171031,1
87284,20171102,1
394015,20170506,1
394015,20170513,1
394015,20170520,1
394015,20170527,1
394015,20170603,1
394015,20170610,1
394015,20170617,1
394015,20170624,1
394015,20170701,1
394015,20170708,1
394015,20170715,1
394015,20170722,1
394015,20170729,1
394015,20170805,1
394015,20170812,1
394015,20170819,1
394015,20170826,1
394015,20170902,1
394015,20170909,1
394015,20170916,1
394015,20170923,1
394015,20170930,1
394015,20171007,1
394015,20171014,1
394015,20171021,1
394015,20171028,1
1388795,20170508,1
1388795,20170509,1
1388795,20170515,1
1388795,20170522,1
1388795,20170526,1
1388795,20170529,1
1388795,20170605,1
1388795,20170606,1
1388795,20170612,1
1388795,20170619,1
1388795,20170626,1
1388795,20170703,1
1388795,20170710,1
1388795,20170715,1
1388795,20170717,1
1388795,20170724,1
1388795,20170731,1
1388795,20170807,1
1388795,20170814,1
1388795,20170816,1
1388795,20170821,1
1388795,20170828,1
1388795,20170904,1
1388795,20170911,1
1388795,20170918,1
1388795,20170925,1
1388795,20171002,1
1388795,20171009,1
1388795,20171016,1
1388795,20171023,1
1388795,20171030,1
1388795,20171102,1
187284,20170505,1
187284,20170506,1
187284,20170510,1
187284,20170511,1
187284,20170512,1
187284,20170513,1
187284,20170516,1
187284,20170517,1
187284,20170518,1
187284,20170519,1
187284,20170520,1
187284,20170523,1
187284,20170524,1
187284,20170525,1
187284,20170527,1
187284,20170530,1
187284,20170531,1
187284,20170601,1
187284,20170602,1
187284,20170603,1
187284,20170607,1
187284,20170608,1
187284,20170609,1
187284,20170610,1
187284,20170613,1
187284,20170614,1
187284,20170615,1
187284,20170616,1
187284,20170617,1
187284,20170620,1
187284,20170621,1
187284,20170622,1
187284,20170623,1
187284,20170624,1
187284,20170627,1
187284,20170628,1
187284,20170629,1
187284,20170630,1
187284,20170701,1
187284,20170704,1
187284,20170705,1
187284,20170706,1
187284,20170707,1
187284,20170708,1
187284,20170711,1
187284,20170712,1
187284,20170713,1
187284,20170714,1
187284,20170718,1
187284,20170719,1
187284,20170720,1
187284,20170721,1
187284,20170722,1
187284,20170725,1
187284,20170726,1
187284,20170727,1
187284,20170728,1
187284,20170729,1
187284,20170801,1
187284,20170802,1
187284,20170803,1
187284,20170804,1
187284,20170805,1
187284,20170808,1
187284,20170809,1
187284,20170810,1
187284,20170811,1
187284,20170812,1
187284,20170815,1
187284,20170817,1
187284,20170818,1
187284,20170819,1
187284,20170822,1
187284,20170823,1
187284,20170824,1
187284,20170825,1
187284,20170826,1
187284,20170829,1
187284,20170830,1
187284,20170831,1
187284,20170901,1
187284,20170902,1
187284,20170905,1
187284,20170906,1
187284,20170907,1
187284,20170908,1
187284,20170909,1
187284,20170912,1
187284,20170913,1
187284,20170914,1
187284,20170915,1
187284,20170916,1
187284,20170919,1
187284,20170920,1
187284,20170921,1
187284,20170922,1
187284,20170923,1
187284,20170926,1
187284,20170927,1
187284,20170928,1
187284,20170929,1
187284,20170930,1
187284,20171003,1
187284,20171004,1
187284,20171005,1
187284,20171006,1
187284,20171007,1
187284,20171010,1
187284,20171011,1
187284,20171012,1
187284,20171013,1
187284,20171014,1
187284,20171017,1
187284,20171018,1
187284,20171019,1
187284,20171020,1
187284,20171021,1
187284,20171024,1
187284,20171025,1
187284,20171026,1
187284,20171027,1
187284,20171028,1
187284,20171031,1
187284,20171101,1
187284,20171103,1
1394015,20170507,1
1394015,20170514,1
1394015,20170521,1
1394015,20170528,1
1394015,20170604,1
1394015,20170611,1
1394015,20170618,1
1394015,20170625,1
1394015,20170702,1
1394015,20170709,1
1394015,20170716,1
1394015,20170723,1
1394015,20170730,1
1394015,20170806,1
1394015,20170813,1
1394015,20170820,1
1394015,20170827,1
1394015,20170903,1
1394015,20170910,1
1394015,20170917,1
1394015,20170924,1
1394015,20171001,1
1394015,20171008,1
1394015,20171015,1
1394015,20171022,1
1394015,20171029,1
388795,20170507,1
388795,20170508,1
388795,20170514,1
388795,20170521,1
388795,20170525,1
388795,20170528,1
388795,20170604,1
388795,20170605,1
388795,20170611,1
388795,20170618,1
388795,20170625,1
388795,20170702,1
388795,20170709,1
388795,20170714,1
388795,20170716,1
388795,20170723,1
388795,20170730,1
388795,20170806,1
388795,20170813,1
388795,20170815,1
388795,20170820,1
388795,20170827,1
388795,20170903,1
388795,20170910,1
388795,20170917,1
388795,20170924,1
388795,20171001,1
388795,20171008,1
388795,20171015,1
388795,20171022,1
388795,20171029,1
388795,20171101,1
